Autor/a (atribución tradicional),Atribución actual,Obra en español,Obra,Compañía,País,Adaptador / Dramaturgismo / Traductor,Fecha de estreno,Festivales,Sinopsis,Web Oficial,Dirección,Escenografía,Reparto,Iluminación,Música y sonido,Video escena / Diseño gráfico / Fotografía,Vestuario / Maquillaje,Movimiento,Producción,Lugar de estreno
Calderón de la Barca,,La vida es sueño,La vida es sueño,Compañía de Titiriteros de la Universidad Nacional de San Martín,Hispanoamérica (Argentina),Carlos Almeida,5/05/2014,"Festival Internacional de Teatro Clásico de Almagro, 11 de julio de 2011","Un día miré la foto de una persona presa en Guantánamo. Estaba de rodillas frente a un alambrado, con esposas y barbijo, su traje era color naranja y soldados fuertemente armados lo custodiaban por detrás.
Esa fue la imagen generadora de este trabajo.
Me recordó a Segismundo, me resonaron muchos ¿por qué? y ¡Ay mísero de mi!...y campos de concentración y la creencia en supuestas “grandes verdades” que llevaron a la humanidad a otros tantos grandes desastres.
A partir de ese momento no paré de pensar en el conflicto central de La vida es sueño, luego sentí que en cada uno de nosotros, juegan en mayor o menor medida, las pulsiones que mueven a los personajes de esta maravillosa obra.
Como resultado escénico del proyecto de investigación denominado La vida es sueño de Pedro Calderón de la Barca, desde la connotación expresiva del objeto”, la Compañía de Titiriteros de la Universidad Nacional de San Martín de Buenos Aires, Argentina, produjo este montaje basado en la notable pieza de Calderón.
Dadas las características particulares del lenguaje del teatro de “objetos”, abordamos el trabajo tomando solo del original, el hueso descarnado de la progresión dramática del conflicto principal.
El resto… solo cuerpos, cabezas sueltas, luces, aire y un material plástico tan frágil y efímero como la vida, tan contundente como un sueño.
Las palabras dichas en “argentino” suenan diferentes, pero quisimos mostrar al respetable y ávido público de Almagro, la obra tal como la representamos en Buenos Aires.
Hoy compartimos esta experiencia, honrados de participar de esta primera edición del “Almagro-OFF”, que seguro provocará la atención de los jóvenes creadores, sobre los clásicos.
Solo queda pedir de nuestras faltas perdón, pues de pechos nobles es tan propio el perdonarlas.",,Carlos Almeida,"Carlos Almeida, Florencia Salas, Roberto Docampo, Ubaldo López","Hernesto Musano, Guillermo Tassara, Clara Chardín, Lucia Arias, Pablo Maidana, Eduardo Paez",Julio Reynoso ,Sebastián Veréa,María Rhode,Clara Hecker,,UNSAM Unidad Academica de las Artes Centro de Investigación y Producción en Teatro de Objetos,Teatro Tornavía de San Martín (Buenos Aires)
Calderón de la Barca,,Constante (sobre El príncipe constante de Calderón),Constante (sobre El príncipe constante de Calderón),Comedia Nacional de Uruguay,Hispanoamérica (Uruguay),"Guillermo Calderón, Gabriel Calderón",2022,"Festival Internacional de Teatro Clásico de Almagro, 1-2 de julio de 2022","Hacer un clásico implica discutir y reafirmar su validez. Ponerse en la línea de su tradición, pero apuntar hacia una dirección en el futuro. A su vez, los nombres que siempre pesan, traen consigo un linaje, pero también prejuicios y expectativas. Hacer un Calderón, no es lo mismo si quien lo hace es otro Calderón. El juego de proponer un Calderón al cubo, tomando una obra que escribió Calderón de la Barca, interviniendo desde la escritura y la dirección contemporánea tanto Guillermo Calderón como Gabriel Calderón, impone una toma de decisiones. Hemos decidido quemar la biblioteca- parafraseando a Borges- trabajar con el texto como si estuviese perdido, como si ya no pudiéramos acceder a él, como si lo soñáramos mal, tradujéramos peor, tal vez traicionando a Calderón, pero siendo fieles al Teatro.",,Gabriel Calderón,Lucía Tayler,"Luis Martínez, Stefanie Neukirch, Jimena Pérez, Juan Antonio Saraví, Pablo Varrailhón","Eduardo Guerrero, Sofía Ponce de León",Luciano Supervielle,,Virginia Sosa,,Felipe Villamarzo Grisoni,Sala Verdi de Montevideo (Uruguay)
Calderón de la Barca,,"Semíramis, la hija del aire (sobre La hija del aire de Calderón)","Semíramis, la hija del aire (sobre La hija del aire de Calderón)",Institución Teatral El Galpón,Hispanoamérica (Uruguay),"Lila García, Marcos Acuña",18/07/2022,"Festival Internacional de Teatro Clásico de Almagro, 18-19 de julio de 2022","Semíramis, la hija del aire propone un reenfoque de dos de las grandes tragedias de Pedro Calderón de la Barca (La hija del aire parte I y parte II) sobre esta mujer inscripta en la historia y la mitología. Nuestra obra se centra en la vida de esta mujer, guerrera y reina, tres condiciones que la pluma de Occidente no le perdona y la condena por acciones que sí han construido “grandes y valientes” hombres históricos y literarios.
Es una mirada contemporánea a esta imponente figura femenina y a su relación con el poder. Semíramis, la hija del aire es contada desde una mirada aguda e íntima sobre el personaje y sobre las consecuencias de que una mujer ejerza el poder político en la sociedad patriarcal.",,"Lila García, Marcos Acuña",Margarita Grasso,"Camila Cayota, Pierino Zorzini, Marcos Zarzaj, Andrés Guido",Sofía Epíscopo,"Martín Pisano, Emiliano Aquino",Alejandro Persichetti,Sofía Beceiro,,Institución Teatral El Galpón,Antigua Universidad Renacentista 
Calderón de la Barca,,"Casa con dos puertas, mala es de guardar","Casa con dos puertas, mala es de guardar",Perro Teatro,Hispanoamérica (México),Gilberto Guerrero,20/07/2012,"Festival Internacional de Teatro Clásico de Almagro, 20-21 de julio de 2012","Cada vez que volvemos nuestros ojos a un clásico, ya sea griego, isabelino, áureo o neoclásico, tenemos la premisa indispensable de trabajar alrededor de él de tal manera que el público encuentre un teatro lleno de vida. Los clásicos se mantienen gracias a su vigencia, a que nos siguen diciendo cosas que necesitamos escuchar… y decir.
Por ello, desde Aristofánica en 1986, nuestra propuesta para los clásicos ha sido encontrar ese lenguaje escénico que respete la esencia de la obra y al mismo tiempo rompa con lo acartonado. Hemos decidido bajar a los clásicos de los pedestales, donde aparecen inalcanzables y, al hacerlos nuestros, compartirlos con el público. Presentarlos como lo que son: obras al alcance de casi cualquiera, textos que también hablan de gente como nosotros, actores y espectadores.
Nuestra propuesta para Casa con dos puertas no es la excepción: el espacio y la concepción de la puesta en escena parten de una gran economía de medios, para que el verso y el trabajo actoral ocupen el papel lúdico que la acción dramática tiene.",,Gilberto Guerrero,,"Ortos Soyuz, Antonio Rojas, Sonia Franco, Fermín Zúñiga, Alhelí Abrego, Martín Becerra, Saandra Covián, Isabel Almeida",Juan Rico,,Gabriel Ramos,,,Perro Teatro,Corral de Comedias de Almagro
Calderón de la Barca,,La hija del aire,La hija del aire,Compañía Nacional de Teatro de México,Hispanoamérica (México),José Gabriel López Antuñano,15/04/2017,"Festival de Teatro Clásico de Olmedo, 20 de julio de 2017","La obra narra la historia de Semíramis, reina de Asiria y fundadora de Babilonia, mujer seductora, astuta y guerrera cuya existencia transcurre marcada por la violencia. El reino de Siria vive luchas fratricidas, traiciones y asaltos al poder por la fuerza y el engaño; esta mujer se enfrenta al dilema de cómo obrar frente a la emergencia: usurpación del poder, manipulación del pueblo y secuestro de la soberanía popular, que conduce a la inminente guerra. El dramaturgo plantea las preguntas que debemos hacernos para convertir el mundo en un lugar de justicia y bien, antes de ensuciarlo con la ambición, la depravación y la injusticia.
La hija del aire de Calderón de la Barca es un drama político y mitológico situado en un tiempo histórico lejano que se hunde en la noche de los tiempos. La leyenda de Semíramis y su corte puede ser cualquier reino totalitario y personalista, cualquier régimen absolutista en el que el acaparamiento del poder conduce a una sociedad hacia su destrucción. Esa destrucción, sea por el destierro a la áspera cárcel aislada o por la desolación del campo de batalla, será uno de los elementos clave de la poética visual del espectáculo. La batalla, la barbarie, la destrucción, el polvo de los desiertos del Asia Menor simbolizan una costra de culpa y de dolor que elimina la identidad de los individuos y la sociedad, hasta arrancarles su esencia humana y sus diferencias. 
Esa identidad borrada, ese espacio y esos personajes desdibujados por las consecuencias de la guerra, la tiranía, la usurpación, el abuso de poder y el aniquilamiento del enemigo, hacen del universo calderoniano un lugar que pertenece a todos los tiempos y todos los espacios. Y en medio de ese caos, Semíramis, ser legendario nacido y criado por las aves, reivindica su derecho a gobernar como mujer y se erige en un símbolo de empoderamiento femenino, como un ave fénix que renace de las cenizas de una sociedad demolida, con una sed insaciable de poder y de libertad frente a un trágico destino inevitable. 
Los escombros que cubre Babilonia son los que cubren cualquier tierra bombardeada, las ruinas de sus ciudades y campos arrasados por la guerra son todas las ruinas de todas las guerras. El hombre aniquilado en su expresión y su identidad por la barbarie y la injusticia es siempre el mismo que se encuentra una y otra vez a lo largo de los siglos. Como decía Erasmo de Rotterdam, de quien Calderón hereda el pensamiento humanista, «Dulce Bellum inexpertis», la guerra solamente puede ser hermosa para quien no la ha vivido nunca, no para quien la vence, la pierde, la sufre, la admite, y tampoco para quien la provoca.",,Ignacio García,Jesús Hernández,"Rodrigo Alonso, Misha Arias de la Cantolla, Enrique Arreola, David Calderón, Carlos Oropeza, Eduardo Candás, Ana Isabel Esqueira, Marco Antonio García, Érika de la Llave, Ana Paola Loaiza, Rosenda Monteros, Óscar Narváez, Laura Padilla, Antonio Rojas, Paulina Treviño, Rodrigo Vázquez, Andrés Weiss",Matías Gorlero,"Ignacio García, Ernesto Anaya",,"Carlo Demichelis, Maricela Estrada",Rossana Filomarino,Compañía Nacional de Teatro de México,Teatro Jiménez Rueda de Ciudad de México
Calderón de la Barca,,La vida es sueño,La vida es sueño,Tropa Teatro,Hispanoamérica (Colombia),Asociación Cultural Tropa Teatro,2012,"Festival Internacional de Teatro Clásico de Almagro, 26-28 de julio de 2019","¡Lo malo de la vida no es que sea un sueño, lo malo es que hay que despertar!
¿Es sueño? ¿Es vida? ¿La vida es sueño? Segismundo nunca conoció una vida fuera del sueño, al haber permanecido cautivo en una torre desde que nació, por orden de su padre el rey Basilio, a causa del miedo a que se cumplan los vaticinios del oráculo consultado. El joven príncipe que coexiste en las fronteras entre el sueño y la realidad a la que está sometido, ha hecho de la torre el territorio donde puede desplegar su libertad, batirse a duelo con sus íntimos fantasmas, imaginar sin limitación alguna, tramitar su destino y transformarlo.
En este aparente estado de suspensión del juicio, Segismundo pone a prueba la fragilidad de la existencia humana, el libre albedrio y la predestinación, el vaivén del tiempo, las emociones y la verdad. Tropa teatro versiona la obra de Pedro Calderón, trayéndola a la actualidad en una puesta ingeniosa, intrépida y altamente imaginativa.",,José Alonso Mejía Román,Erika Johana Rengifo,"Gustavo Alonso Vidal, Maryury Ruííz, Johnathan Rodríguez, Diego Julián Zabala, Robinson Estiben Cardona, Bárbara Figueroa Caelles",,"Germán Piñeros, Tropa Teatro",Daniela Rengifo Obando,,,Tropa Teatro,Medellín 
Calderón de la Barca,,La vida es sueño (infantil),La vida es sueño (infantil),Teatro La Plaza,Hispanoamérica (Perú),Els Vandell,27/05/2023,"Festival Internacional de Teatro de Medellín; Festival Internacional de Teatro Clásico de Almagro, 6 de julio de 2023","Una joven rebelde, su ocurrente amigo y un caballo sin igual llegan a Polonia en busca del Príncipe de Moscovia, quien ha escapado de su país para arreglar un serio problema. Sin embargo, en el camino al Palacio Real descubren a un joven llamado Segismundo quien, encerrado en una torre, vive privado de su libertad por órdenes del Rey, un hombre muy supersticioso. ¿Qué decisiones tomará este rey respecto al futuro del reino?
Una divertida y mágica aventura que se desarrolla entre el aparente sueño y la realidad de su protagonista, despertando los valores del amor propio, la autoconfianza, la comunicación en familia y, por supuesto, nuestra relación con el destino. La vida es sueño es un clásico que sobrevive en el tiempo y llega en esta oportunidad con una escenografía 100% eco-amigable y vestuarios hechos de materiales reciclados. Una obra perfecta para nuestros días, donde lo importante es no olvidar que, ya sea en sueño o no, siempre se debe hacer el bien.",https://live.joinnus.com/lima-la-vida-es-sueno-teatro-la-plaza-40026,Fito Valles,Marco Sono,"Fabian Alva, Carolina Cano, Johan Escalante, Joaquin Escobar, Marco Flozu, Ramón García, Gustavo Mayer, Mayra Najar, Diego Pérez",Kevin Bueno,Álvaro Balvin,,,,"Nuria Araníbar, Rob Díaz",Teatro La Plaza de Larcomar de Miraflores (Lima)
Calderón de la Barca,,La vida es sueño,La vita è sogno,"Piccolo Teatro di Milano, Teatro d'Europa",Italia,Luisa Orioli,21/01/2000,,,,Lica Ronconi,Marco Capuana,"Franco Branciaroli, Massimo Popolizio, Riccardo Bini, Antonello Fassari, Rosa Binder, Giovanni Crippa, Manuela Mandracchia",,Luca Francesconi,,Carlo Diappi,,"Piccolo Teatro di Milano, Teatro d'Europa",Teatro Streheler (Milán)
Calderón de la Barca,,El príncipe constante,Il principe constante,"Piccolo Teatro di MIlano, Teatro Biondo Satbile di Palermo, Teatro Stabile di Brescia",Italia,Luisa Orioli,2001,,,,Cesare Lievi,Ezio Toffolutti,"Grazziano Piazza, Emanuela Guaiana, Paolo Serra, Fausto Russo Alesi, Ludovico D'Agostino, Jacopo Venturiero, Antonio Piovanelli",Gigi Saccomandi,Paolo Terni,,Marina Luxardo,Daniela Schiavone,"Piccolo Teatro di MIlano, Teatro Biondo Satbile di Palermo, Teatro Stabile di Brescia",
Calderón de la Barca,,La vida es sueño,La vita è sogno,Lenz Rifrazioni,Italia,"Maria Federica Maestri, Francesco Pititto",2003,"Festival Internacional de Teatro Clásico de Almagro, 13-14 de julio de 2004",,,"Maria Federica Maestri, Francesco Pititto","Maria Federica Maestri
Francesco Pititto","Valentina Barbarini, Simona Bertocchi, Paolo Maccini, Sandra Soncini, Salvatore Barone",,Andrea Azzali,,Maria Federica Maestri,,Lenz Rifrazioni,Teatro Lenz (Parma)
Calderón de la Barca,,El mágico prodigioso,Il magico prodigioso,Lenz Rifrazioni,Italia,"Maria Federica Maestri, Francesco Pititto",2004,,,,"Maria Federica Maestri, Francesco Pititto","Maria Federica Maestri
Francesco Pititto","Valentina Barbarini, Sandra Soncini, Paolo Maccini",,Andrea Azzali,,Maria Federica Maestri,,Lenz Rifrazioni,Teatro Lenz (Parma)
Calderón de la Barca,,El príncipe constante,Il principe constante,Lenz Rifrazioni,Italia,"Maria Federica Maestri, Francesco Pititto",2006,,,,"Maria Federica Maestri, Francesco Pititto","Maria Federica Maestri
Francesco Pititto","Valentina Barbarini, Sandra Soncini, Paolo Maccini",,Andrea Azzali,,Maria Federica Maestri,,Lenz Rifrazioni,Teatro Lenz (Parma)
Calderón de la Barca,,La vida es sueño,La vida es sueño,Ksec Act,Japón,"Yoichi Tajiri, Kei Jinguji",2002,"Festival Internacional de Teatro Clásico de Almagro, 5-6 de julio de 2002","Para los japoneses, el pensamiento de La vida es sueño estña relacionado con la ""fugacidad de la prosperidad y decadencia de la vida del hombre"", sentimiento de transitoriedad que aparece en el drama de Noh Kantan no makura. Justo al comienzo de la obra, Rosaura se lamenta preguntándose si habrá una vida más inhumana que la suya; entonces ve a Segismundo encadenado en su mazmorra y de improviso comprende, como el sabio que recogía las hierbas, la vanidad de la vida humana.
Sin embargo, cuando Calderón dice en su obra que ""la vida es sueño"", expresa un modo de pensar totalmente opuesto a esto. Hacia el final de la obra, el protagonista Segismundo, que hasta entonces se había estado comportando de manera insolente e incorrecta, comprende de pronto que, precisamente porque la vida es sueño, si no tiene una buena conducta, la propia vida se desvanece como una burbuja. Se puede señalar este arrepentimiento repentino de Segismundo como una de las características del teatro barroco, pero no cabe duda de que la ""buena conducta"" de la que se habla es, por supuesto, la justicia basada en la moral cristiana. La idea de que precisamente quien acumula buenas obras es el rey, puede decirse que es pensamiento propio de la España barroca bajo el absolutismo de la casa Habsburgo.",https://www.festivaldealmagro.com/wp-content/uploads/2019/12/programa_2002.pdf,Kei Jinguji,,"Tadayosi Sakakibara, Kenji Yoshida, Yoshitomo Kani, Tatsuo Kuno, Masaya Nagana, Fumitoshi Andou, Yoshiteru Yamada, Senko Hida, Yuiko Kato, Tomoko Hirai, Eriko Shimizu, Chiaki Kita","Tadamitsu Kondo, Toshihiro Yoshito",Tooru Tanaka,,"Hiromi Tsuboi, Kentaro Igarashi, Sonoko Uchibori",,"Nobutomo Fukasawa, Mikio Miyagawa, Kazue Takahashi",
Calderón de la Barca,,El príncipe constante,Ksiaze Nieztomny,Teatr Polski w Poznaniu,Polonia,Juliusz Stowacki,19/01/2001,,,,Pawel Wodzinski,Dorota Kotodynska,"Mariusz Puchalski, Andrzej Szczytko, Andrzej Golejewski, Agnieszka Mandat-Btasik, Pawel Binkowski, Michal Kaleta, Piotr Wypart",,Piotr Moss,,Dorota Kotodynska,,Teatr Polski w Poznaniu,(Poznan)
Calderón de la Barca,,El alcalde de Zalamea,Sedzia z Zalamei,Teatr Polski w Poznaniu,Polonia,Jaroslaw Marek Rymkiewicz,20/04/2002,,,,Grzegorz Wisniewski,Barbara Hanicka,"Igor Kujawski, Marcin Keszycki, Jolanta Fraszynska, Jacek Krol, Mariusz Czajka, Agata Skowronska, Henryk Niebudek, Mariusz Kiljan, Jerzy Mularczyk, Ferdynand Matysik, Adam Cywka, Ewa Skibinska",,Grzegorz Turnau,,,,Teatr Polski w Poznaniu,(Wroclaw)
Calderón de la Barca,,La vida es sueño,Zycie jest snem,Teatr Miejski,Polonia,Julia Wernio,11/03/2004,,,,Julia Wernio,,"Rafal Kowal, Grzegorz Wolf",,,,,,Teatr Miejski,(Gdynia)
Calderón de la Barca,,La dama duende,La dama duende,Compañíía Ugala Teater,Estonia,Lembit Peterson,2017,"Festival Internacional de Teatro Clásico de Almagro, 10-11 de julio de 2019","La dama duende, célebre comedia de capa y espada de Pedro Calderón de la Barca, fue la pieza elegida por el prestigioso director de teatro estonio Lembit Peterson para inaugurar la reapertura del Teatro Ugala, tras una remodelación técnica. Este antiguo teatro de la ciudad estonia, fundado en 1920, eligió uno de nuestros clásicos para tal importante evento cultural. El equipo está formado por la compañía estable del Teatro Ugala y ha contado con dos artistas españoles invitados, Jara Martínez (escenografía y vestuario) y Germán Díaz (música). Tras dos años de exitosa gira en Estonia tendremos la oportunidad de ver su trabajo dentro del festival.
En esta comedia Doña Ángela debe superar la guardia constante de sus hermanos y ocultar su personalidad para poder relacionarse con su enamorado, Don Manuel, dentro de una misma casa. Para conseguir vencer los impedimentos de encontrarse encerrada en su habitación y enamorar a Don Manuel la protagonista debe desplegar todo su astucia e ingenio.",,Lembit Peterson,Jara Martínez Valderas,"Ott Aardam, Janek Vadi, Aarne Soro, Laura Peterson, Ilo-Ann Saarepera, Martin Mill, Vallo Kirs, Laura Kalle, Marika Palm, Pille-Riin Lillepalu",Rene Liivamägi,Germán Díaz,Diego Palacio Enríquez,Jara Martínez Valderas,"Tiina Mölder, Indrek Sammul",Teatro Ugala,Teatro Ugala (Viljandi)
Atribuido a Tirso de Molina,,El burlador de Sevilla,El burlador de Sevilla,GALA Hispanic Theatre,Estados Unidos,Hugo Medrano,17/02/2000,,,https://www.galatheatre.org/production-history,Hugo Medrano,,"Leslie Yáñez, Harold Ruiz, Luis Wanderwinder, Manolo Santalla, Etzel Cardeña,  Beto Ortiz, Carlos Castillo, Broselianda Hernandez, Manuel Cabrera-Santos, Luis Manrique, Javier Terán, Cynthia Benjamin, Claudia Torres, Vera Soltero. ",,,,,,GALA Hispanic Theatre,Sede de GALA (Washington)
Atribuido a Tirso de Molina,,El burlador de Sevilla,"Don Juan, The Trickster of Seville",Andak Stage Company,Estados Unidos,Dakin Matthews,2006,"Festival Siglo de Oro en el Teatro Chamizal de El Paso, 4 de marzo de 2006.","El drama de Tirso de Molino (c. 1625) fue el primero en presentar el personaje de Don Juan al público teatral y tuvo un enorme impacto en la cultura occidental, influenciando a Mozart, Byron y Shaw, por nombrar solo algunos. Tirso, monje mercedario y una de las figuras más brillantes del Siglo de Oro español, escribió una obra moral sorprendentemente atrevida y entretenida —llena de música, canciones, sexo y espectáculo— sobre un joven noble que se dedica a seducir mujeres, mientras mantiene que habrá tiempo de sobra para arrepentirse antes de morir. La visita de la estatua del padre asesinado de una de sus víctimas le enseña lo contrario.",https://www.andak.org/ps/donjuan.shtml,Anne McNaughton,,,,,,,,Andak Stage Company,NewPlace Theatre Center (North Hollywood)
Atribuido a Tirso de Molina,,El burlador de Sevilla,L'Abuseur de Sèville,Teatro Malandro,Francia,"Omar Porras, Marco Sabbatini",7/03/2005,,"Continuando su exploración de los grandes mitos, el Teatro Malandro se remonta a las fuentes mismas de la leyenda de Don Juan: Tirso de Molina, Molière y los italianos. A la manera de los actores y saltimbancos, del siglo XVII, Malandro extrae de estas obras nacidas directamente en los caballetes el material de su investigación teatral: el texto y la puesta en escena se escriben en las tablas, alimentándose tanto de la inventiva de los actores como de las numerosas variantes de este gran mito fundador. Comediante nacido - y por lo tanto emblema del teatro - el abusador de Sevilla sube a los caballetes para recorrer una vez más todas las etapas de su sulfurosa Pasión, sin haber perdido nada de su poder de seducción más allá de la nada y los siglos.",https://malandro.ch/spectacle/el-don-juan-dapres-tirso-de-molina/,Omar Porras,Fredy Porras,"Philippe Gouin, Omar Porras, Joan Mompart, Claude Barichasse, Philippe Faure, Francisco Cabello, Anna Pieri, Pierre-Yves Le Louarn, Hélène Seretti, Caroline Weiss, Stéphanie Gagneux, Fabiana Medina, Camille Figuéréo, Emiliano Suárez",Laurent Prunier,"Ludovic Guglielmazzi, Christian Boissel, Edouard Cappot, Omar Porras",,"Maria Galvez, Omar Porras",,"Teatro Malandro, Théâtre de Carouge-Atelier de Genève, Théâtre de la Ville",Théâtre de Carouge (Ginebra)
Tirso de Molina,,El vergonzoso en palacio,Le Timide au palais,Compagnie du Matin,Francia,Jean-Jacques Préau,12/01/2005,,,,Gwenhaël de Gouvello,Jean-Michel Adam,"Xavier Gallais, Marie-Hélène Roig, Berttrand Arnould, Anne-Laure Pons, Philippe Unsub, Marc Siemiatycki, Michel Laliberté, Julie Berducq",Marie-Hélène Pinon,Stéphane Corbin,,Mine Barral-Vergez,,Compagnie du Matin,Théâtre 13 / Jardin (París)
Tirso de Molina,,La venganza de Tamar,The Rape of Tamar,Royal Shakespeare Company,Gran Bretaña,Paul Whitworth,31/03/2004,Festival de Otoño de Madrid,,,Laurence Boswell,Es Devlin,"John Stahl, James Gale, Chuk Iwuji, Katherine Kelly, Joseph Mydell, Claire Cox",Ben Ormerod,Mick Sands,,Es Devlin,Struan Leslie,Royal Shakespeare Company,The Swan Theatre (Stratford-upon-Avon)
Atribuido a Tirso de Molina,,El burlador de Sevilla,El burlador de Sevilla,Teatro Libre de Bogotá,Hispanoamérica (Colombia),Ricardo Camacho,2003,"Festival Internacional de Teatro Clásico de Almagro, 15-16 de junio de 2003",,,Ricardo Camacho,Pilar Caballero,"Christian Ballesteros, Martha Lazcano, Walter Suaza, Leonardo Zossi, Nelson Celis, Claudia Ramírez, Ricardo de los Ríos, German Naranjo, Hernán Pico, Leonardo Zossi, Diego Barragán, Alejandra Guarin, Carolina González, Angie Bueno, Daniela Helmsdorff, Alberto Zornosa, Walter Suaza",,Juan Luis Restrepo,,,,Teatro Libre de Bogotá,*
Tirso de Molina,,La celosa de sí misma,La celosa de sí misma,Compañía Argentina de Teatro Clásico,Hispanoamérica (Argentina),Santiago Doria,11/03/2022,"Festival Internacional de Teatro Clásico de Almagro, 22-24 de julio de 2022","El humor y el entramado de enredos de Tirso, unidos a la condición trashumante de la Compañía Argentina de Teatro Clásico, confluyen en una puesta donde el espacio escénico se convierte en un campo de juegos, de confusiones, campo en el que se despliega la erótica de la palabra, de lo imaginado, de lo velado y la capacidad de invención de Tirso de Molina para construir sus personajes. Su eficaz pluma hace que La celosa de sí misma por su fuerza cómica y satírica, y su riqueza de matices psicológicos, permita al público de hoy reflexionar sobre temas como el amor, los celos, el goce de oponerse a lo impuesto y las contradicciones de la conducta humana.",,Santiago Doria,Ariel Nesterczuk,"Irene Almus, Gastón Ares, Andrés D'Adamo, Mónica D'Agostino, Pablo Di Felice, Luis Longhi, Francisco Pesqueira, Ana Yovino","Sebastián Ochoa, Horacio Novelle","Mónica D'Agostino, Sebastián Ochoa",Fernando Lendoiro,"Maydée Arigós, Aníbal Duarte, Amalia Giménez, Mónica Gutiérrez",,"Fabi Maneiro, Compañía Argentina de Teatro Clásico",Centro Cultural de la Cooperación (Buenos Aires)
Tirso de Molina,,Basado en El burlador de Sevilla y los canovaci del arte,Don Giovanni raccontato e cantato dai Comici dell'Arte,"Teatro di Roma, Theatre des italiens",Italia,Maurizio Scaparro,2002,"Festival Internacional de Teatro Clásico de Almagro, 10-11 de julio de 2002","El proyecto trienal sobre don Juan nace por la enorme necesidad de no limitarse a conocerlo a traves de un solo espectaculo (no habría bastado), sino para verificar sus diversas caras o algunas de ellas. Sondear sus posibilidades, las distintas reacciones ante el amor y ante la muerte, elegir la alegria y afrontar, con Nicola Piovani, un Don Juan cantado y contado por cómicos de la Comedia dell'Arte (a través de El burlador de Sevilla de Tirso de Molina), que será de los tres el primer Don Juan que verá la luz, seguido por el Don Juan de Zorrilla, y finalmente, el Don Giovanni de Mozaet, que junto a Molière es la otra piedra fundamental en la construcción de este gran mito. ",,Maurizio Scaparro,"Roberto Francia, Roberto Rebaudengo","Peppe Barra, Lalla Esposito, Maria Leticia Gorga, Carla Ferraro, Luca Mascia, Maximilian Nisi, Giacinto Palmarini, Fernando Pannullo, Loredana Piedimonte",Gino Potini,"Nicola Piovani, Germano Mazzocchetti",,Santuzza Cali,,"Teatro di Roma, Theatre des italiens",*
Atribuido a Tirso de Molina,,Teatro de Papel: Convidado de piedra (a partir de El burlador de Sevilla de Tirso de Molina),Teatro de Papel: Convidado de piedra (a partir de El burlador de Sevilla de Tirso de Molina),"Teatro de Formas Animadas de Vila do Conde, Teatro Nacional Sao Joao",Portugal,"Marcelo Lafontana, José Coutinhas, Alberto Castrillo-Ferrer",2008,"Festival Internacional de Teatro Clásico de Almagro, 28-29 de julio de 2008","¿Puede el deseo librarnos de la muerte? Claro que puede. Por lo menos de aquella muerte que tantas veces sobreviene en vida, una muerte menos literal, pero máás trágica en cuanto que no sustrae al cadáver la conciencia de su desvanecimiento.Don Juan es uno de los primeros héroes modernos, un hombre enfrentado a las construcciones morales que sirven de base a una sociedad que está en transformación pero todavía no lo sabe. En un momento histórico en el que la masificación de las ideas y de los papeles económicos y sociales amenaza la singularidad, la vitalidad pasional y la propia irreductibilidad del hombre, nos proponemos abordar [...] el personaje y el mito de Don Juan. Recorriendo los diferentes matices textuales, las puestas en escena diferentes entre síí, los elencos de creadores e intérpretes en diferentes fases de maduracióón, visitamos Moliere, convivimos con Mozart y llegamos ahora a la raíz: El burlador de Sevilla, de Tirso de Molina.
Recrear el talento retórico de Don Juan con figuritas de papel, actores sin peso (y por tanto inmunes a la posibilidad de caíída), hechos al final de la misma materia donde se inscribe el texto al que dan voz, es un placer solo posible porque iniciamos el trabajo hace dos años, bajo la propuesta y el estímulo de Marcelo Lafontana y del Teatro de Formas Animadas, esta pequeña aventura que es el Sao Joao de Papel. Después del Anfitrion, de António Joséé da Silva, [...] esta segunda creación de papel revela una vez más la voluntad de trabajar repertorios clásicos para públicos juveniles, descubriendo en conjunto los placeres literarios y teatrales que surgen de los mitos fundadores de nuestra cultura. Donde Eros y Tanatos, el deseo y la muerte, van de la mano. Porque la vida sin deseo, y la accion que lo hace presente y lo consume, no es vida. Ni tal vez muerte... ",,Marcelo Lafontana,"Ana Loureiro, André Ribeira, Mónica Paiva, Pedro Madureira, Víctor Madureira","Víctor Madureira, Andreia Gomes, Marcelo Lafontana","Rui Damas, Pedro Cardoso",Eduardo Luís Patriarca,Paulo Agra,,,"Teatro de Formas Animadas de Vila do Conde, Teatro Nacional Sao Joao",
