Autor/a (atribución tradicional),Atribución actual,Obra,Temporada,Compañía,Adaptador / Dramaturgismo / Traductor,Fecha de estreno,Festivales,Sinopsis,Web Oficial,Dirección,Escenografía,Reparto,Iluminación,Música y sonido,Video escena,Vestuario,Movimiento,Producción,Lugar de estreno,
Miguel de Cervantes,,"La gracia que no quiso darme el cielo; Miguel de Cervantes, poesía escogida",2005,Joaquín Vida,Luis García Montero,,,La obra narra la vida de un hombre que se siente frustrado por no haber recibido la gracia divina que anhela. ,,Joaquín Vida,,"Nati Mistral, José María Barbero, Juan A. Molina. Piano: Pedro Mariné",,,,,,Joaquín Vida,,
Miguel de Cervantes,,La Numancia,2005,Kull d´Sac,Laura Merino Manuel,,,,,Javier Juárez,Raúl Gago,Javier Juárez,Alfonso Peña,Begoña Martín,,"Eva Brizuela, Yamatoku. ",,Kull d´Sac,,
Miguel de Cervantes,,Las hazañas del caballero de La Mancha,2005,El Carromato,,,,"Don Quijote cabalga junto a Sancho Panza por las calles de la ciudad acompañados de campesinos que, a ritmo de percusión, deleitan al público y los contagia para burlarse del Caballero de la Triste Figura. Por invitación del Duque, Don Quijote revive las hazañas realizadas en tierras manchegas, como la lucha contra los gigantes, la liberación de los galeotes, el enfrentamiento contra los ejércitos de los caballeros del emperador del arremangado brazo… Todo ello, en honor de su amada, Dulcinea del Toboso.
A lo largo del recorrido, se proponen diversas dinámicas con la participación del público. En ellas deben superar, por orden del Duque, varias pruebas para que los más pequeños sean nombrados caballeros acompañados por las melodías de dulzaina y saxo.",https://elcarromato.com/espectaculos/las-hazanas-del-caballero-de-la-mancha/,Pascual Varo,,"Adrián Varo, Germán Arjona, Andrés Hernández, Alfonso Marín, Óscar Martínez, Judit Lobato, Fátima Jiménez y Lucía Rodríguez",,,,Alexis Rodríguez,,El Carromato,,
Miguel de Cervantes,,Los habladores,2005,Jara del Centro Extremeño de Alcalá de Henares. Grupo Teatro La,,,,,,,,"Luisa Atienza, Miguel Murillo, Conchi Moreno, Celia Peñalver, Manoli Meco y Esperanza Moyano",,,,,,Jara del Centro Extremeño de Alcalá de Henares. Grupo Teatro La,,
Miguel de Cervantes,,Mi amigo Don Quijote,2005,Arte Fusión Títeres,Claudia Massotto Franco,,,"El quijote cabalga de nuevo es un espectáculo muy especial ya que es divertido y va pasando por diversas partes del libro, para que el público, sepa realmente sin adaptación libre, partes de este gran Clásico. La diversidad en la puesta en escena con tres diferentes frentes, un par de ratones fans vestidos de Quijote Pérez y Sancho García, los verdaderos protagonistas Don Quijote y su caballo Rocinante, Sancho Panza y su asno Rucio y la mismísima Dulcinea, mas una cabra y una oveja cotillas, cuentan de tres formas diferentes y puntos de vista esta gran historia aderezado de humor y momentos emocionantes",https://artefusiontiteres.com/mi-amigo-don-quijote/,Claudia Massotto Franco,,"Mario Tomás López, Claudia Massotto Franco, Roberto Pellizzetti",José Bascones ,,,Paula Arimary,,Arte Fusión Títeres,,
Miguel de Cervantes,,Pasajes del Quijote; Don Quijote,2005,Almocafre,,,,"Dos pasajes del Quijote : un diálogo entre don Quijote y Sancho Panza tras una de sus salidas y el momento en el que Sancho tiene que hacer justicia, tras ser nombrado gobernador de la ínsula de Barataria.",https://bd.qtheatre.org/en/schede/pasajes-del-quijote/203,José Antonio Adamuz,,,,,,,,Almocafre,,
Miguel de Cervantes,,¡Quijote!; Don Quijote,2005,Teatro Núcleo,,,,,,Cora Herrendorf,Remi Boinot,,,Cora Herrendorf,,Remi Boinot,,Teatro Núcleo,,
Miguel de Cervantes,,Quijote; Don Quijote,2005,"Teloncillo, Achiperre",Marcelo Díaz,,,"La historia presenta a Don Quijote en el lecho de muerte, pero cuerdo, razonador, lúcido. Le acompañan Sancho Panza, siempre fiel, el cura y el bachiller Sansón Carrasco. Son los amigos de quien un tiempo estuvo loco. «Entre los tres, y mediante los sonidos, tratan de levantarle el ánimo, de recordarle peripecias y aventuras. Idean espacios, recrean...». Es un juego «entre el imaginario del Quijote y la realidad».",https://www.laopiniondezamora.es/zamora/2005/08/26/achiperre-teloncillo-coproducen-quijote-proyecto-1669150.html,Marcelo Díaz,Isidro Alonso,"Javier Juárez, Félix Muñiz, Diego Fariña, Raúl Camino y Raque Chopo",José Miguel Campo Tito,,,Isidro Alonso y Eva Brizuela,,"Teloncillo, Achiperre",,
Miguel de Cervantes,,"Quijote, las mil aventuras; Don Quijote",2005,Atakama Teatro,,17 de mayo de 2005,,,https://bd.qtheatre.org/es/schede/quijote-las-mil-aventuras/193,Fulgencio Valares ,,"Rocío Montero, Jorge Valderrama y Miguel de la Torre",,,,,,,"Teatro López de Ayala, Badajoz (Extremadura) ",
Miguel de Cervantes,,"Quijote, un hidalgo de La Mancha; Don Quijote. El hidalgo de la Mancha",2005,Teatro Clásico Madrid Hidra Lerna,Wolf Helem y José Vijuesca,,,,,Wolf Helem y José Vijuesca,,,,,,,,Teatro Clásico Madrid Hidra Lerna,,
Miguel de Cervantes,,"Retablo de maese Pedro o de cómo Ginesillo de Pasamonte conoció a don Quijote y lo que le aconteció, Don Quijote",2005,La Tirita de Teatro,Paco Úbeda,3 de diciembre de 2005,,"La obra se plantea como una aproximación al texto de Cervantes, pero desde la óptica de uno de sus personajes, Ginés de Pasamonte, uno de los reos liberados por don Quijote, que se convierte en titerero para ganarse el condumio recorriendo esos campos de Dios, al frio ya la calor.
Utilizando los malabares, la magia y los títeres, maese Pedro nos cuenta, con los tradicionales títeres de cachiporra, la aventura del rebuzno, en la que dos regidores, con la ayuda del público presente, buscan un asno haciendo el asno y dando una fama. de asnos a sus conciudadanos en las aldeas de los alrededores muy difícil de llevar. También nos cuenta como conoció a don Quijote ya Sancho, sus impresiones y comentarios, para desgranar el retablo de la libertad de Melisendra, aderezado con los comentarios de las reacciones que manifestó don Quijote durante la representación del mismo, que en esta ocasión maese Pedro podrá incluir el Retablo.",https://bd.qtheatre.org/en/schede/el-retablo-de-maese-pedro-o-de-cmo-ginesillo-de-pasamonte-conoci-a-don-quijote-y-lo-que-aconteci/190,Paco Úbeda,,Paco Úbeda ,,,,"Claudia Botero, Cristina Rodríguez Leiva",,La Tirita de Teatro,,
Miguel de Cervantes,,"Sancho Panza, el musical",2005,Arte&Ocio,Inma González y José Luis Morán,9 de abril de 2005,,"En nuestro musical  hemos dado una visión actualizada del clásico de D. Miguel de Cervantes, coincidiendo con el 400 aniversario de su publicación.

Hemos acercado el TEATRO CLÁSICO, a los niños y a los grandes, en la forma que nos parece más accesible: EL MUSICAL. En nuestro guión, repasamos algunos de los momentos más divertidos y característicos de la obra, pero desde el punto de vista de Sancho Panza. Presentamos espectacularmente el panorama social de la época, transición del XVI al XVII, las clases sociales, las costumbres, las creencias, las profesiones y oficios del momento, con la mirada y las formas de siglo XXI, descubriendo que quizá, en algunos aspectos, no hemos cambiado tanto.

Dejamos con la boca abierta al público: efectos especiales, actores que vuelan, personajes mágicos, muñecos, humor, emoción trepidante y diversión constante. Queremos demostrar a grandes y pequeños que en los clásicos también hay humor, intriga, situaciones emocionantes y finales inesperados. Para ello adaptamos el QUIJOTE, obra de humor por antonomasia, al lenguaje familiar.

Como siempre, en ARTE&OCIO, la música es original y creada expresamente para este espectáculo.

Al más puro estilo de los musicales de Broadway, con orquestaciones espectaculares y con letras muy cuidadas. Letras que cuentan las situaciones en las que se encuentran los personajes y los sentimientos que éstas les provocan.",https://www.arteocio.com/Sancho%20Panza%20el%20musical.htm,José Luis Moral,,"Ángel Savín, Manuel Elías, Geno Machado, Azucena Rivas, Esteban Oliver, Luz Martínez Bolaños, Eva Manjón, José Manuel Santos, Lourdes Zamalloa, Carlos Seguí, Quique Fernández, Pedro Ordóñez, Marcos Valiente, Marta Arroyo, Gonzalo Alcaín, Nuria Zamora",,,,,,Arte&Ocio,Teatro Nuevo Apolo (Madrid),
Miguel de Cervantes,,"Sancho Panza, gobernador de la ínsula Barataria",2005,Grupo de Teatro Punto y Aparte,,,,,https://bd.qtheatre.org/en/schede/sancho-panza-gobernador-de-la-nsula-barataria/3242,,,"Marcos García, Marina Martínez, Daniel Sáiz, Pilar López, Patricia Ureña, Beatriz Fortúnez, Tania Martínez, Patricia Pozo, Álvaro Carvajal, Elena Rodríguez, Yolanda Tejado, Pablo de Moya, Olga Serrano, Marta Fuentes, Cristina Cuesta, Araceli Adalid y María Fuentes",,,,,,Grupo de Teatro Punto y Aparte,,
Miguel de Cervantes,,Teatro con clase,2005,Delirium Teatro,,,,,,Ignacio Almenar,,Soraya González del Rosario y Severiano García,,,,,,Delirium Teatro,,
Miguel de Cervantes,,Entremeses,2006,Rafel Oliver Producciones,,,,,,Andreu A. Segura,,"Joan Pizá, Joan Josep Baltasar, Jorge Minguella, Joana Ferrer y María Rotger",Joan Borrás,,,,,Rafel Oliver Producciones,,
Miguel de Cervantes,,Entremeses ,2006,Grupo de Teatro de las Universidad Carlos III,,,,,,Domingo Ortega,Lucía Ortega,"Antonio Martín, Arianna Fernández, Delia Cabello, Irene Domínguez, Carlos Escaño, Ángel Sánchez, Zosimo Yubero, Óscar Pérez, Laura Moreno, Belén de Santiago, María San Miguel, Manuel García, Elena Casero, Gustavo Calleja y Roberto Lorenzo",,,,Lola Canales,,Grupo de Teatro de las Universidad Carlos III,,
Miguel de Cervantes,,Entremeses: La cueva de Salamanca; Los habladores; La guarda cuidadosa,2006,Grupo de Teatro de la Universidad Carlos III,,,,,,Domingo Ortega,Lucía Ortega,"Sergio Adillo, Elena Casero, Esti Curiel, Isabel García, Roberto Lorenzo, Iván López-Bueno, Laura Moreno, Manuel Prats, Lucía Rodríguez, Ángel Sánchez, María San Miguel y Zósimo Yubero",,,,Lola Canales,,Grupo de Teatro de la Universidad Carlos III de Madrid,,
Miguel de Cervantes,,Don Quixote; Don Quijote,2007,West Yorkshire Playhouse; Mom,Pablo Ley y Colin Teevan,26 de octubre de 2007,Festival de Otoño,"Un Quijote diferente. Habla en inglés. Transportado a la época actual, a 2007. Un reparto cuajado de actores británicos. El 'Don Quixote' coproducido por MOM Produccions y West Yorkshire Playhouse es tan atípico como la personalidad del ingenioso hidalgo que perfilara Miguel de Cervantes hace más ya de cuatro siglos.

El espectáculo, de dos horas de duración con intermedio, está integrado dentro de la programación del XXIV Festival de Otoño de Madrid. Tras el estreno oficial el pasado mes de septiembre en Leeds, se podrá ver por primera vez en España el próximo 26 de octubre, en el Teatro de Madrid, donde permanecerá durante tres días.

El 'Don Quixote' que dirige Josep Galindo se construye sobre dos partes diferenciadas. La primera se fundamenta en la realidad, el presente. Intenta responder a interrogantes como dónde acaba la realidad y empieza la locura. La segunda se ciñe a la ficción, con Don Quijote convertido ya en un fenómeno público. Respetando la voluntad de Cervantes de generar un universo con la fascinación por lo literario en el centro, la obra trata de abarcar el mayor número posible de historias plasmadas en el original. ",https://www.premiosmax.com/estreno/165/don-quixote-relato-de-una-road-movie-por-la-mancha/,Josep Galindo,Gideon Davey,"Tony Bell, Stephen Casey, Alasdir Craig, Andrew Dennis, Rachel Donovan, Greg Hicks, Alan McMahon, Caitlin Mottram, Laura Power y Phoebe Soterriades",Charles Balfour,David Benke,,,,West Yorkshire Playhouse; Mom,Teatro Madrid,
Miguel de Cervantes,,El viejo celoso,2007,Grupo Cultural Xana,,,,"Cañizares se ha casado con Lorenza, una muchacha de quince años con el fin disfrutar de su compañía y tener quien le cuide en los últimos años de su vida. Pero nada más casar se ve asaltado por unos terribles los celos y agudos temores porque recela de que Lorenza, a quien cree aún en plena inocencia de niña, pueda un día darse cuenta de lo que realmente le falta para gozar del matrimonio y que él ya no puede darle. Así Cañizares mantiene a Lorenza encerrada en casa con siete llaves, servida y vigilada exclusivamente por Cristina, una sobrina lejana traída al efecto, sin que nadie, ni vecinas ni amigos ni persona alguna, pueda atravesar los quicios de su hogar donde mantiene a su esposa férreamente enclaustrada. Pero las mañas de la alcahueta Hortigosa, en connivencia con la sobrina, hacen que el inexpugnable encierro sea vano y que los deseos de Lorenza se despierten y afloren de forma incontenida",,Margarita Rodríguez ,,"Carlos Arias, Covadonga Braña, Covadonga Muñoz, Josefina Fernández, Paco Suárez, Rosa Ana Muñoz",,,,,,Grupo Cultural Xana,,
Miguel de Cervantes,,Rinconete y Cortadillo en Tormes,2007,Esphera Teatro,María Barragán y Montse Duque,,,"Obra inspirada en las novelas ejemplares de Miguel de Cervantes donde nos encontramos el pasaje de Rinconete y Cortadillo junto a la historia del Lazarillo de Tormes, con tono musical, con canciones en directo por los interpretes de la obra",https://teatroproduccion.wixsite.com/espherateatro2020/rinconete-y-cortadillo-en-tormes,María Barragñan,," Juan Corpas, Raquel Pérez, Susana Barquero",,José Carrá,,,,Esphera Teatro,,
Miguel de Cervantes,,El licenciado Vidriera ,2009,Teatro del Temple,Alfonso Plou,8 de noviembre de 2009,,"Tomás Rodajas y Cervantes interpretados por dos magníficos actores, recrean la picaresca cervantina mezclando con fluidez la situación jocosa con la reflexión profunda. El montaje escénico es fácilmente adaptable a escenarios de diverso tamaño. Un espectáculo dirigido a todos los públicos.",https://teatrodeltemple.com/project/el-licenciado-vidriera/,Carlos Martín,Tomás Ruata,Javier Aranda y José Luis Esteban,Bucho Cariñena,,,Beatriz Fernández Barahona,,Teatro del Temple,Centro Cívico Teodoro Sánchez Punter (Zaragoza),
Miguel de Cervantes,,Entremeses variados: La cueva de Salamanca; La guarda cuidadosa; Los habladores,2009,Sociedad Estatal de Servicios Culturales. SECC; Grupo de Teatro de la Universidad Carlos III,,,,,,dOMINGO Ortega,Lucía Ortega,"Ángel Sánchez, Arianna Fernández, Elena Casero, Iván López-Bueno, Laura Moreno, Lucía Rodríguez, Manuel Prats, María San Miguel, Roberto Lorenzo, Sergio Adillo, Zósimo Yubero",,,,Lola Canales,,Sociedad Estatal de Servicios Culturales. SECC; Grupo de Teatro de la Universidad Carlos III,,
Miguel de Cervantes,,Quijote; Don Quijote,2009,Teatro de la Juventud de Fontanka,Mijail Bulgakov,,,"El protagonista de la pieza es un solitario, un caballero andante, un hombre sin sosiego, una personalidad singular, que no puede encontrar en ninguna parte ni comprensión, ni compasión. La gente toma los trabajos caballerescos de don Quijote por vagabundos, su valor por desatino, su generoso desinterés por locura. El director del espectáculo, Simeón Spivak, se muestra firme en su idea de que Don Quijote sea una de las primeras historias sobre el así llamado “hombre pequeño” y además considera que nuestro tiempo no es propicio para la interpretación heroica y romántica de la novela. . 
En el papel de don Quijote los espectadores verán a Andrey Shimko; en este espectáculo el artista representa a un personaje extrafalario don Quijano, el cual está huyendo de las trivialidades de la vida cotidiana al mundo multicolor, vivaz de la fantasía, donde hay lugar para milagros, encantamientos, gigantes. Su don Quijote es un niño, echado al mundo de los adultos. El decorador Simeón Pastukh vistió toda la escena en pieles blancas como la nieve. En esta imagen “blanca y tierna” del alma del protagonista está reflejada la concepción que tiene del mundo el mismo director. 
El papel del escudero leal de don Quijote lo desempeña Roman Nechaev: Sancho, astuto y práctico, quien no confía en nada salvo en su buen sentido aldeano. Nechaev nos presenta la imagen maravillosa de un perezoso soñador, bueno como el pan y fiel servidor: así es el acompañante de don Quijote, que suscita toda una escalada de emociones, desde la sonrisa burlona hasta la compasión.",https://bd.qtheatre.org/en/schede/quijote/183,Simeón Spivak,,"Andrey Shimko, Roman Nechaev",,,,,,Teatro de la Juventud de Fontanka,,
Miguel de Cervantes,,Rinconete y Cortadillo; El licenciado Vidriera,2009,Ítaca Teatro,,,,"Rinconete y Cortadillo: Dos muchachos de unos 15 años de edad, Pedro del Rincón y Diego Cortado. Se escapan de sus casas porque los maltrataban en sus familias y tienen que agudizar su ingenio. Sus aventuras de camino desde Toledo a Sevilla, roban a un arriero haciéndole trampas con las cartas. Llegados a Sevilla consiguen su primer trabajo pero así y todo roban a un sacristán y Gachuelo que los ve, les dice que deben pertenecer a la cofradía de ladrones mandada por Monipodio que controla el comercio del robo en la ciudad. Este es  el que cambia sus nombres por los alias de Rinconete y Cortadillo. Con una parte del dinero de los robos cometidos, Monipodio les hace pagar velas para los santos y novenas para la Virgen, de esta manera se creen buenos cristianos, y así cumplen todas sus obligaciones como creyentes.

Con una parte del dinero de los robos cometidos, Monipodio les hace pagar velas para los santos y novenas para la Virgen, de esta manera se creen buenos cristianos, y así cumplen todas sus obligaciones como creyentes. Cervantes no deja claro el final de la obra, porque parece que queda más novela por escribir.",https://www.madridteatro.eu/index.php?option=com_content&view=article&id=1865:rinconete-y-cortadillo-el-licenciado-vidriera&catid=151:informacion&Itemid=64,Pepe Ortega,Pepe Ortega,"Eduardo Zubiaur, Felipe Vélez, Giovann Holquin, Javier Muñoz, María José Sarrate, Mikele Urroz",,,,Paz Ayuso,,Ítaca Teatro,,
Miguel de Cervantes,,Abrevia T,2010,Producciones Dogar,Victor Manuel Dogar,16 de marzo de 2010,,,,Victor Manuel Dogar,Ángel Boyano,"Paloma Paso Jardiel, Lucía Bravo, Scott A. Singer, Agustín Ruiz, Pepe Lorente, Fernando Gómez y Laura Alcocer",Juan Gómez Cornejo,,,José Miguel Ligero,,Producciones Dogar,Teatro Bellas Artes (Madrid),
Miguel de Cervantes,,El coloquio de los perros,2010,Teatro de la Abadía,Arsenio Lope Huerta y Fefa Noia,9 de octubre de 2010,Semana Cervantina,"Hablando con Cipión, Berganza resume su vida a través de las de sus dueños: un matarife asesino, un pastor que mata a las ovejas que tiene a su cargo, un alguacil timador de extranjeros… es decir, una recua de hombres y mujeres tramposos, buscavidas, engañabobos… mentirosos.

Las historias se suceden como capas de cebolla y al término de cada una de ellas no sabemos si llorar o reír; sólo nos queda la necesidad de Berganza de buscar un nuevo hogar, lejos de la maldad de los hombres, cuyas consecuencias suele pagar el perro.",https://www.teatroabadia.com/espectaculo/el-coloquio-de-los-perros/,Fefa Noia,Silvia de Marta,"Almudena Ramos, Jorge Martín, Óscar de la Fuente, Quique Fernández",Andrés Caraballo,,,Silvia de Marta,,Teatro de la Abadía,"Corral de Comedias, Alcalá de Henares (Madrid)",
Miguel de Cervantes,,El imaginario de Cervantes,2010,Teatro de Cámara Cervantes,Sonia Sebastián,11 de septiembre de 2010,Noche en Blanco,,https://tccervantes.tumblr.com/tagged/imaginario_de_cervantes,Sonia Sebastián,,"Alejandro Arestegui, Celia Freijeiro, Elena Lombao, Georbis Martínez, Javier Mejía, Juan Ceacero, Juan Olivares, Julia de Castro, Maribel Vilar, Raúl Sanz, Sandra Collantes",,,,,,Teatro de Cámara Cervantes,Sociedad Cervantina (Madrid),
Miguel de Cervantes,,El viejo celoso; El vizcaíno fingido; Entremeses de Cervantes; La cueva de Salamanca,2010,Corrales de Comedias Teatro,Ernesto de Diego,,,,,Ernesto de Diego,Javier Ruiz de Alegría,"Almudena S. Pascual, Antonio León, Covadonga Calderón, Félix Espinosa, J. Enrique Pelegrín, Nieves Carrión, P. Norton, Vicente Nove",Jacinto Díaz,,,Alberto Barba,,Corrales de Comedias Teatro,,
Miguel de Cervantes,,Don Quijote,2011,Compañía Nacional de Teatro de China ,Traducción: Dong Yansheng Adaptación: Kang He,,,"El ingenioso hidalgo don Quijote de la Mancha narra las aventuras de Alonso Quijano, un hidalgo pobre que de tanto leer novelas de caballería acaba enloqueciendo y creyendo ser un caballero andante, nombrándose a sí mismo como don Quijote de la Mancha. Sus intenciones son ayudar a los pobres y desfavorecidos, y lograr el amor de la supuesta Dulcinea del Toboso, que es en realidad es una campesina llamada Aldonza Lorenzo. Decide nombrar a Sancho Panza, un empleado suyo, su escudero. Juntos viven muchas aventuras y tras ser vencido por el Caballero de la Blanca Luna se retira a su hogar, donde, tras adquirir de nuevo la cordura, fallece.

La presente edición intenta no ser una más de las múltiples ediciones existentes. Se ha respetado el texto de la edición príncipe con el mayor escrúpulo posible, acompañada de notas explicativas. Está ilustrada con magníficos grabados españoles que acompañaron a la primera edición de la Academia. Una edición en suma, tal como se dice en la introducción, realizada a la medida de todos los lectores y capaz de sugerir más de una interpretación.
",,Meng Jinghui,Shang Wu,"Guo Tao, Liu Xiaove, Han Qing, Zhang Yicheng, Zhao Xiaosu, Cheng Junnian, Li Zhihao, Chen Chao, Kong Yan, Liu Lu, Yin Xue, Hao Wei, Guo Enlong, Han Pengyi y Liu Yang",Wang Qi,Feng Jiangzhou y Yan Guihe,,Liu Dan,,Compañía Nacional de Teatro de China ,,
Miguel de Cervantes,,El coloquio de los perros,2011,Morfeo Teatro Clásico,Francisco Negro,21 de enero de 2011,,"Cervantes escribe esta su última novela ejemplar en el ocaso de su vida, apenas unos años antes de su muerte, demostrando con maestría un pesimismo irónico que le hace adelantarse a su tiempo con una narración sin par ni precedentes en su modernidad. Escenifica la conversación entre dos perros, llamados Cipión y Berganza, que al comprobar que han adquirido la facultad de hablar deciden contar sus experiencias con distintos amos en la España de la época, y a esperas de que una profecía les convierta en hombres. El enigma se resuelve sorpresivamente tras una fantasmal aparición que explicará el porqué de su mágica transformación.

El relato está construido según los principios de la novela picaresca. Mediante el contrapunto de los comentarios de los perros, en nuestra adaptación ya personas, un viejo y taciturno Cervantes reflexiona sobre las relaciones entre la verosimilitud y la realidad, sobre la corrupción y egoísmo de la sociedad, y lo más importante, sobre la fraternidad del ser humano.

El montaje combina una estética de época, con vestuarios entresacados de retratos de Velázquez, enmarcada en un decorado con espíritu contemporáneo; así, un telón pintado inspirado en El Greco muestra un paisaje atemporal, y unas enormes gasas pintadas en abstracto, sustituyen la ""cámara negra"" del teatro en un receptáculo de luz que sigue las emociones de los personajes y el sentido de la historia de manera totalmente conceptual. También hay una fuerte caracterización para convertir a los actores en dos ajados mendigos.

En nuestra propuesta se han cambiado los papeles originales que protagonizaban dos perros por el de un hidalgo depauperado y un mendigo harapiento, también ""perros"" desheredados de la fortuna, que, con el mismo afán que Cervantes, narran sus experiencias entre lo amargo y la comedia, en una sutil, y a veces innegable, comparativa con nuestros tiempos.",https://www.morfeoteatro.com/elcoloquiodelosperros/index.html,Francisco Negro,Regue Fernández Mateos,"Francisco Negro, Mayte Bona y Felipe Santiago",Ernesto Miguel Preciado,,,Mayte Bona,,Morfeo Teatro Clásico,Teatro Principal de Burgos (Burgos),
Miguel de Cervantes,,Entremeses: El vizcaíno fingido; El viejo celoso; La cueva de Salamanca,2011,Secuencia 3 Artes y Comunicació,Eduardo Galán y Luis Galán,,,,,Alejandro Arestegui,Merche Sanz,"Emilio de Cos, Ignacio Galán, Déborah Guerrero, Rebeca Sierra, Carlos Velasco y Arturo Sierra",Ana Coca,Última Fila,,Merche Sanz,,Secuencia 3 Artes y Comunicació,,
Miguel de Cervantes,,Numancia ,2011,Joven Compañía de Teatro de Parla,Mar Zubieta,9 de abril de 2011,,,,José Luis Arellano García,José Luis Raymond,"Alberto Granados Reguilón, Alicia García Hernández, Clara Garrido Pascual, Daniel Valverde Yago, David Chamero Cámara, Diego Garrido Sanz, Diego García Varo, Estefanía Martínez Quesada, Jesús Masip Santurde, Luis Gómez Gutiérrez, Luis Enrique Montero Peláez, Nuria Chacón Benayas, Pedro Sánchez Martínez, Raúl Serrano Tavera, Rocío Pérez Rodríguez, Sara Romero Villegas, Sourabh Shivnani Chandnans, Vanesa Rodrigo Gutiérrez, Violeta Ramírez Díaz-Marta. Músicos: Alberto Granados Reguilón, Daniel Pérez Carazo, Javier Monasterio Solar, Rubén Álvarez Barrero",Antonio Serrano,David R. Peralto y Alberto Granados,,Ikerne Giménez,,Joven Compañía de Teatro de Parla,Teatro de la Casa de la Juventud de Parla (Madrid),
Miguel de Cervantes,,Cipión de Berganza (incluye los entremeses: El viejo celoso; El vizcaíno fingido; Los habladores),2012,Tiempolírico,Carlos Fernández de Castro,,,,,Carlos Fernández de Castro,Marta Virseda,"Rodrigo Mendiola, Silvina Mañanes, María José del Valle, Juan Matute, César Sánchez y Sergio Otegui",Iván Martín,Juan Matute y Yooka,,Carlos Fernández de Castro y Marta Virseda,,Tiempolírico,,
Miguel de Cervantes,,Don Quijote,2012,Teatro de Cámara Chéjov,Ángel Gutiérrez,13 de diciembre de 2012,Festival UNIR Alumni,"El ingenioso hidalgo don Quijote de la Mancha narra las aventuras de Alonso Quijano, un hidalgo pobre que de tanto leer novelas de caballería acaba enloqueciendo y creyendo ser un caballero andante, nombrándose a sí mismo como don Quijote de la Mancha. Sus intenciones son ayudar a los pobres y desfavorecidos, y lograr el amor de la supuesta Dulcinea del Toboso, que es en realidad es una campesina llamada Aldonza Lorenzo. Decide nombrar a Sancho Panza, un empleado suyo, su escudero. Juntos viven muchas aventuras y tras ser vencido por el Caballero de la Blanca Luna se retira a su hogar, donde, tras adquirir de nuevo la cordura, fallece.

La presente edición intenta no ser una más de las múltiples ediciones existentes. Se ha respetado el texto de la edición príncipe con el mayor escrúpulo posible, acompañada de notas explicativas. Está ilustrada con magníficos grabados españoles que acompañaron a la primera edición de la Academia. Una edición en suma, tal como se dice en la introducción, realizada a la medida de todos los lectores y capaz de sugerir más de una interpretación.

",,Ángel Gutierrez,,"Germán Estebas, José Luis Checa, María José Cortes, David Izura, Natalia Cooper, Cristina González y Sergio Reques",,,,,,Teatro de Cámara Chéjov,Sala Gonzalo de Berceo de Logroño (La Rioja),
Miguel de Cervantes,,El coloquio de los perros,2012,Producciones Inconstantes,Isidro Timón y Emilio del Valle,,,"La última de las Novelas ejemplares de Miguel de Cervantes cuenta la prodigiosa historia de Berganza y Cipión, dos perros que hablan, y la aventura vital e intelectual de varios personajes (incluyendo los perros mismos) en busca de una explicación lógica al hecho imposible de su conversación. Una brillante historia en la que el auto reflexiona sobre la condición humana a partir de la relación de un perro con sus sucesivos amos.

Nos une el amor por un texto exquisito en el que cada párrafo contiene tanta sabiduría universal y atemporal que nos produce cierto miedo. Este proyecto es una inmersión que se despoja de la representación para entrar a fondo en la literatura, la filosofía y el teatro. ¿Son dos perros que de repente pueden hablar o dos personas que por fin pueden comunicarse?",https://www.inconstantes.com/index.php/homepage/coloquio-de-los-perros,Emilio del Valle,Emilio del Valle y Buly,Chete Lera y Chema de Miguel,Juan Manuel Guerra,,,Cecilia Hernández Molano y Ana Rodrigo,,Producciones Inconstantes,,
Miguel de Cervantes,,El viejo celoso,2012,Cambaluz Teatro,,,,"Cañizares se ha casado con Lorenza, una muchacha de quince años con el fin disfrutar de su compañía y tener quien le cuide en los últimos años de su vida. Pero nada más casar se ve asaltado por unos terribles los celos y agudos temores porque recela de que Lorenza, a quien cree aún en plena inocencia de niña, pueda un día darse cuenta de lo que realmente le falta para gozar del matrimonio y que él ya no puede darle. Así Cañizares mantiene a Lorenza encerrada en casa con siete llaves, servida y vigilada exclusivamente por Cristina, una sobrina lejana traída al efecto, sin que nadie, ni vecinas ni amigos ni persona alguna, pueda atravesar los quicios de su hogar donde mantiene a su esposa férreamente enclaustrada. Pero las mañas de la alcahueta Hortigosa, en connivencia con la sobrina, hacen que el inexpugnable encierro sea vano y que los deseos de Lorenza se despierten y afloren de forma incontenida",,Miguel Fresneda,,,,,,,,Cambaluz Teatro,,
Miguel de Cervantes,,Entremeses,2012,Zamamur Producciones ,Del Colectivo,9 de noviembre de 2012,,,,Del Colectivo,Ana Cecilia Tejada,"Rosa Rocha, Paula Portilla, David Pericacho y Manolo Carretero.",Manolo Carretero,Paco Rapado,,Paula Portilla,,Zamamur Producciones,Gran Teatro de Cáceres (Extremadura),
